Ten phim,Nam san xuat,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
The Starling Girl,2023,92.0,positive,97.0,positive,12/05/2023,11/07/2023,R,English,1h 56m
Beautiful Disaster,2023,25.0,negative,55.0,negative,12/04/2023,02/05/2023,R (Sexual Content|Language|Some Violence|Teen Drinking),English,1h 36m
Butcher's Crossing,2023,74.0,positive,47.0,negative,20/10/2023,07/11/2023,R (Some Violence/Bloody Images|Language|Brief Sexual Content),English,1h 45m
How to Blow Up a Pipeline,2023,95.0,positive,66.0,positive,07/04/2023,18/08/2023,R (Some Drug Use|Language Throughout),English,1h 39m
You Hurt My Feelings,2023,95.0,positive,64.0,positive,26/05/2023,22/06/2023,R (Language),English,1h 33m
Mars One,2023,97.0,positive,68.0,positive,05/01/2023,05/01/2023,TV-MA (Language|Nudity|Smoking),Portuguese (Brazil),1h 55m
Shazam! Fury of the Gods,2023,49.0,negative,86.0,positive,17/03/2023,07/04/2023,PG-13 (Sequences of Action|Language|Violence),English,2h 10m
Transformers: Rise of the Beasts,2023,52.0,negative,91.0,positive,09/06/2023,11/07/2023,PG-13 (Language|Intense Sci-Fi Action|Violence),English,2h 7m
Confidential Informant,2023,0.0,negative,39.0,negative,30/06/2023,27/06/2023,R (Graphic Nudity|Drug Use|Language Throughout|Some Violence),English,1h 28m
Plane,2023,78.0,positive,64.0,positive,13/01/2023,02/02/2023,R (Violence and Language),English,1h 47m
Candy Cane Lane,2023,45.0,negative,45.0,negative,24/11/2023,01/12/2023,PG (Some Suggestive References|Language Throughout),English,1h 48m
Of an Age,2023,86.0,positive,88.0,positive,17/02/2023,07/03/2023,R (Some Drug Use|Sexual Content|Language Throughout),English,1h 39m
Fair Play,2023,85.0,positive,54.0,negative,29/09/2023,06/10/2023,R (Sexual Violence|Sexual Content|Pervasive Language|Some Nudity),English,1h 53m
The Old Way,2023,32.0,negative,70.0,positive,06/01/2023,13/01/2023,R (Violence),English,1h 35m
You Are So Not Invited to My Bat Mitzvah,2023,91.0,positive,60.0,positive,25/08/2023,25/08/2023,PG-13 (Brief Teen Drinking|Strong Language|Some Crude/Suggestive Material),English,1h 41m
The Best Man,2023,33.0,negative,33.0,negative,21/04/2023,21/04/2023,R (Violence|Language Throughout|Teen Drinking|Drug Use),English,1h 33m
