Ma phim,Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
3f36d358-97db-45f6-ba05-ee4f9f311b68,2023,https://www.rottentomatoes.com/m/the_deepest_breath,The Deepest Breath,8.5,positive,9.3,positive,14/07/2023,19/07/2023,PG (Language|Unsettling Images|Some Intense Peril),English,1h 48m
3f9edabe-1f56-33b5-8530-d96426b2c372,2023,https://www.rottentomatoes.com/m/transfusion_2022,Transfusion,5.7,negative,4.4,negative,03/03/2023,03/03/2023,R (Teen Drinking and Drug Use|Language Throughout|Violence),English,1h 45m
3fc11e68-12b2-30e1-bf12-4ad9bb9df033,2023,https://www.rottentomatoes.com/m/cocaine_bear,Cocaine Bear,6.6,positive,7.1,positive,24/02/2023,21/03/2023,R (Drug Content|Bloody Violence and Gore|Language Throughout),English,1h 35m
40b88250-90ce-3d27-901f-22233a4664a8,2023,https://www.rottentomatoes.com/m/are_you_there_god_its_me_margaret,"Are You There God? It's Me, Margaret.",9.9,positive,9.5,positive,28/04/2023,06/06/2023,PG-13 (Some Suggestive Material|Sexual Education|Thematic Material),English,1h 45m
40c8f1b7-ca5c-3a0b-af7d-17c3c1ff9d62,2023,https://www.rottentomatoes.com/m/detective_knight_independence,Detective Knight: Independence,6.7,positive,8.3,positive,20/01/2023,20/01/2023,R (Sexuality|Language Throughout|Brief Drug Use|Violence),English,1h 31m
4259494b-47db-32db-9abd-d4dff33829f1,2023,https://www.rottentomatoes.com/m/your_lucky_day,Your Lucky Day,8.6,positive,6.0,positive,10/11/2023,14/11/2023,R (Some Sexual Material|Language Throughout|Graphic Nudity|Strong Violence),English,1h 29m
431505cc-700e-4f8c-911a-2f3fcb2ac5a3,2023,https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania,Ant-Man and The Wasp: Quantumania,4.6,negative,8.2,positive,17/02/2023,18/04/2023,PG-13 (Violence/Action|Language),English,2h 4m
44395a61-7822-3fca-be96-f35615f57967,2023,https://www.rottentomatoes.com/m/we_have_a_ghost,We Have a Ghost,4.2,negative,6.1,positive,17/02/2023,24/02/2023,PG-13 (Violence|Sexual/Suggestive References|Language),English,2h 6m
4459a1b8-ec4a-4c13-8c31-b27464e1c6e2,2023,https://www.rottentomatoes.com/m/poor_things,Poor Things,9.2,positive,7.9,positive,08/12/2023,27/02/2024,R (Gore|Disturbing Material|Graphic Nudity|Language|Strong Sexual Content),English,2h 21m
4641e973-5fea-434d-8810-feb95c2dec8b,2023,https://www.rottentomatoes.com/m/wish_2023,Wish,4.8,negative,8.1,positive,22/11/2023,23/01/2024,PG (Thematic Elements|Mild Action),English,1h 32m
