Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Ngay ra rap,The loai,Ngon ngu,Thoi luong phim
2023,https://www.rottentomatoes.com/m/blue_beetle,Blue Beetle,7.7,18/08/2023,PG-13 (Sequences of Action|Language|Some Suggestive References|Violence),English,2h 7m
2023,https://www.rottentomatoes.com/m/blackberry,BlackBerry,9.7,12/05/2023,R (Language Throughout),English,1h 59m
2023,https://www.rottentomatoes.com/m/the_magicians_elephant,The Magician's Elephant,6.5,10/03/2023,PG (Some Action/Peril|Thematic Elements),English,1h 43m
2023,https://www.rottentomatoes.com/m/the_color_purple,The Color Purple,8.1,25/12/2023,PG-13 (Mature Thematic Content|Language|Sexual Content|Violence),English,2h 21m
2023,https://www.rottentomatoes.com/m/strange_way_of_life,Strange Way of Life,7.7,04/10/2023,R (Language|Bloody Images|Some Sexual Content),English,31m
2023,https://www.rottentomatoes.com/m/dream_scenario,Dream Scenario,9.1,22/11/2023,R (Some Sexual Content|Language|Violence),English,1h 42m
2023,https://www.rottentomatoes.com/m/the_zone_of_interest,The Zone of Interest,9.3,15/12/2023,PG-13 (Some Suggestive Material|Smoking|Thematic Material),German,1h 46m
2023,https://www.rottentomatoes.com/m/children_of_the_corn,Children of the Corn,1.2,03/03/2023,R (Violence and Bloody Images),English,1h 32m
2023,https://www.rottentomatoes.com/m/the_machine_2023,The Machine,3.1,26/05/2023,R (Pervasive Language|Drug Use|Some Sexual References|Strong Violence),English,1h 52m
2023,https://www.rottentomatoes.com/m/the_secret_kingdom,The Secret Kingdom,6.3,09/06/2023,PG (Action/Peril|Thematic Elements),English,1h 38m
2023,https://www.rottentomatoes.com/m/ruby_gillman_teenage_kraken,"Ruby Gillman, Teenage Kraken",6.5,30/06/2023,PG (Some Action|Rude Humor|Thematic Elements),English,1h 31m
2023,https://www.rottentomatoes.com/m/society_of_the_snow,Society of the Snow,9.0,22/12/2023,R (Violent/Disturbing Material|Brief Graphic Nudity),Spanish,2h 24m
2023,https://www.rottentomatoes.com/m/what_happens_later,What Happens Later,5.1,03/11/2023,R (Some Sexual References|Language|Brief Drug Use),English,1h 43m
2023,https://www.rottentomatoes.com/m/joy_ride_2023,Joy Ride,9.0,07/07/2023,R (Drug Content|Brief Graphic Nudity|Language Throughout|Strong & Crude Sexual Content),English,1h 35m
2023,https://www.rottentomatoes.com/m/jesus_revolution,Jesus Revolution,5.4,24/02/2023,PG-13 (Strong Drug Content|Some Thematic Elements),English,1h 59m
2023,https://www.rottentomatoes.com/m/champions_2022,Champions,5.8,10/03/2023,PG-13 (Strong Language|Crude/Sexual References),English,2h 3m
2023,https://www.rottentomatoes.com/m/gran_turismo_based_on_a_true_story,Gran Turismo: Based on a True Story,6.5,25/08/2023,PG-13 (Some Strong Language|Intense Action),English,2h 15m
2023,https://www.rottentomatoes.com/m/all_of_us_strangers,All of Us Strangers,9.6,22/12/2023,R (Sexual Content|Language|Some Drug Use),English,1h 45m
2023,https://www.rottentomatoes.com/m/80_for_brady,80 for Brady,5.8,03/02/2023,PG-13 (Some Suggestive References|Some Drug Content|Brief Strong Language),English,1h 38m
2023,https://www.rottentomatoes.com/m/breakwater_2023,Breakwater,4.0,22/12/2023,R (Language|Violence|Some Sexual Material),English,1h 37m
2023,https://www.rottentomatoes.com/m/godzilla_minus_one,Godzilla Minus One,9.8,01/12/2023,PG-13 (Creature Violence and Action),Japanese,2h 5m
2023,https://www.rottentomatoes.com/m/operation_fortune_ruse_de_guerre,Operation Fortune: Ruse de guerre,5.1,03/03/2023,R (Language and Violence),English,1h 54m
2023,https://www.rottentomatoes.com/m/the_flood_2023,The Flood,3.3,14/07/2023,R,English,1h 31m
2023,https://www.rottentomatoes.com/m/one_true_loves,One True Loves,3.0,07/04/2023,PG-13,English,1h 40m
2023,https://www.rottentomatoes.com/m/spy_kids_armageddon,Spy Kids: Armageddon,5.4,22/09/2023,PG (Sequences of Action),English,1h 48m
2023,https://www.rottentomatoes.com/m/beau_is_afraid,Beau Is Afraid,6.8,21/04/2023,R (Graphic Nudity|Drug Use|Language|Sexual Content|Strong Violent Content),English,2h 59m
2023,https://www.rottentomatoes.com/m/occupied_city,Occupied City,7.0,25/12/2023,PG-13 (Smoking|Sexual Material|Brief Drug Use|Strong Language|Thematic Material),English,4h 0m
2023,https://www.rottentomatoes.com/m/the_exorcist_believer,The Exorcist: Believer,2.2,06/10/2023,R (Language|Disturbing Images|Sexual References|Some Violent Content),English,1h 51m
2023,https://www.rottentomatoes.com/m/fingernails,Fingernails,6.0,27/10/2023,R (Language),English,1h 53m
2023,https://www.rottentomatoes.com/m/heart_of_stone_2023,Heart of Stone,3.1,11/08/2023,PG-13 (Action|Some Language|Sequences of Violence),English,2h 2m
2023,https://www.rottentomatoes.com/m/thanksgiving_2023,Thanksgiving,8.4,17/11/2023,R (Pervasive Language|Gore|Some Sexual Material|Strong Bloody Horror Violence),English,1h 47m
2023,https://www.rottentomatoes.com/m/saw_x,Saw X,8.0,29/09/2023,R (Language|Grisly Bloody Violence|Some Drug Use|Torture),English,1h 58m
2023,https://www.rottentomatoes.com/m/evil_dead_rise,Evil Dead Rise,8.4,21/04/2023,R (Some Language|Gore|Strong Bloody Horror Violence),English,1h 36m
2023,https://www.rottentomatoes.com/m/the_re_education_of_molly_singer,The Re-Education of Molly Singer,2.0,29/09/2023,R (Pervasive Language|Some Drug Use|Sexual Content),English,2h 0m
2023,https://www.rottentomatoes.com/m/the_boys_in_the_boat,The Boys in the Boat,5.7,25/12/2023,PG-13 (Language and Smoking),English,2h 4m
2023,https://www.rottentomatoes.com/m/satanic_hispanics,Satanic Hispanics,9.0,14/09/2023,R (Bloody Violence and Gore|Some Sexual Material|Language Throughout),English,1h 45m
2023,https://www.rottentomatoes.com/m/its_a_wonderful_knife,It's a Wonderful Knife,5.4,10/11/2023,R (Language|Drug Use|Bloody Violence),English,1h 27m
