movieId,movieYear,movieURL,movieTitle,critic_score,critic_sentiment,audience_score,audience_sentiment,release_date_theaters,release_date_streaming,rating,original_language,runtime
1af95807-f6f9-4c8a-a05b-6d4c6382d5ef,2023,https://www.rottentomatoes.com/m/the_plus_one,The Plus One,,,8,negative,"Sep 29, 2023, Limited",3-Oct-23,PG-13 (Suggestive Material|Some Drug Use|Language),English,1h 34m
1b191d58-9546-33fd-a4e7-2d32082cca8f,2023,https://www.rottentomatoes.com/m/disco_inferno_2023,Disco Inferno,,,53,negative,,20-Oct-23,,English,18m
1b8a069e-65f2-407d-9f99-62468061b9d1,2023,https://www.rottentomatoes.com/m/prisoners_daughter,Prisoner's Daughter,43,negative,79,positive,"Jun 30, 2023, Limited",18-Jul-23,R (Language and Some Violence),English,1h 38m
1bf204b2-749e-46ef-9cfd-c80fbbb2b34e,2023,https://www.rottentomatoes.com/m/satan_wants_you,Satan Wants You,95,positive,60,positive,"Oct 20, 2023, Limited",20-Oct-23,,English,1h 29m
1cd7fd9a-f138-42da-9c59-0c430e71bdc3,2023,https://www.rottentomatoes.com/m/after_everything_2023,After Everything,,,79,positive,"Sep 13, 2023, Limited",3-Oct-23,R,English,1h 35m
1d1e044d-aff2-4114-a2bf-4752d07a137b,2023,https://www.rottentomatoes.com/m/haunting_of_the_queen_mary,Haunting of the Queen Mary,67,positive,54,negative,"Aug 18, 2023, Limited",17-Oct-23,,English,1h 54m
1d3f9e32-5e86-4e58-83a6-1a69b746aeb9,2023,https://www.rottentomatoes.com/m/pain_hustlers,Pain Hustlers,23,negative,64,positive,"Oct 20, 2023, Limited",27-Oct-23,R (Nudity|Language Throughout|Drug Use|Some Sexual Content),English,2h 2m
1daf8fb4-deef-3c31-966f-a5d37c18e282,2023,https://www.rottentomatoes.com/m/getting_away_with_murders,Getting Away With Murder(s),100,positive,100,positive,,27-Jan-23,,English (United Kingdom),2h 55m
1dccdc3a-9a98-4c60-a261-058abc24ae58,2023,https://www.rottentomatoes.com/m/killer_book_club,Killer Book Club,8,negative,24,negative,,25-Aug-23,,Spanish,1h 27m
1de705c6-cbf7-3864-a554-32b987e39188,2023,https://www.rottentomatoes.com/m/cypher_2023,Cypher,87,positive,80,positive,"Nov 24, 2023, Limited",24-Nov-23,R (Language),English,1h 21m
1e7e52df-5775-3850-a576-47750e15306d,2023,https://www.rottentomatoes.com/m/landlocked_2022,LandLocked,60,positive,,,"Jan 6, 2023, Limited",6-Jan-23,,English,1h 15m
1f39ee28-22c8-30cd-82e7-d0245b4b2c57,2023,https://www.rottentomatoes.com/m/renfield,Renfield,58,negative,79,positive,"Apr 14, 2023, Wide",2-May-23,R (Language Throughout|Bloody Violence|Some Drug Use|Some Gore),English,1h 33m
1f910ebf-a23f-3de3-afa2-cb0a0eb9a15d,2023,https://www.rottentomatoes.com/m/the_last_kingdom_seven_kings_must_die,Seven Kings Must Die,82,positive,71,positive,,14-Apr-23,,English (United Kingdom),2h 0m
1fc8e079-560d-4482-985d-d501545d3450,2023,https://www.rottentomatoes.com/m/crater_2023,Crater,64,positive,61,positive,,12-May-23,PG,English,1h 45m
1fe36019-931c-4000-ac01-ea42d83b76ef,2023,https://www.rottentomatoes.com/m/megalomaniac,Megalomaniac,84,positive,81,positive,"Sep 8, 2023, Limited",26-Sep-23,,French,1h 40m
204fa220-4b0a-4cc2-8c15-f375c2d84ba0,2023,https://www.rottentomatoes.com/m/chang_can_dunk,Chang Can Dunk,96,positive,72,positive,,10-Mar-23,PG,English,1h 49m
208ade17-d670-3403-a374-bd1bd1ad9d8a,2023,https://www.rottentomatoes.com/m/chupa_2023,Chupa,68,positive,57,negative,"Apr 7, 2023, Limited",7-Apr-23,PG (Peril|Thematic Elements|Some Action),English,1h 35m
20da8808-d6ba-42f2-8d21-bb0f0ea02c6a,2023,https://www.rottentomatoes.com/m/shooting_stars_2023,Shooting Stars,56,negative,70,positive,,2-Jun-23,PG-13 (Teen Drinking|Strong Language|Some Suggestive References),English,1h 55m
215ecd50-b801-3e43-914c-6add4697a3da,2023,https://www.rottentomatoes.com/m/after_death,After Death,50,negative,87,positive,"Oct 27, 2023, Wide",11-Mar-24,PG-13 (Violent Descriptions|Drug References|Thematic Material|Some Bloody Images),English,1h 48m
2186af8c-af28-3b4b-b83a-47191331b992,2023,https://www.rottentomatoes.com/m/fire_island,Fire Island,,,43,negative,,1-Jun-23,,English,1h 22m
22dec941-0149-4074-94ac-d3dc4f291e44,2023,https://www.rottentomatoes.com/m/priscilla,Priscilla,84,positive,63,positive,"Nov 3, 2023, Wide",15-Dec-23,R (Drug Use and Some Language),English,1h 53m
233d2e0e-e9eb-3304-8495-f90c344a4909,2023,https://www.rottentomatoes.com/m/the_stratum,The Stratum,,,62,positive,,7-Mar-23,,English,1h 38m
23fd6a0b-353e-418f-a47e-70fcaabcf8fe,2023,https://www.rottentomatoes.com/m/all_fun_and_games,All Fun and Games,38,negative,38,negative,"Sep 1, 2023, Limited",1-Sep-23,,English,1h 16m
245f92fa-9a78-3200-9637-e2ebff5016af,2023,https://www.rottentomatoes.com/m/mafia_mamma,Mafia Mamma,21,negative,67,positive,"Apr 14, 2023, Wide",2-May-23,R (Language|Bloody Violence|Sexual Content),English,1h 41m
25596f14-b45d-3968-80a6-0a6a3a866b6b,2023,https://www.rottentomatoes.com/m/acidman,Acidman,76,positive,71,positive,"Mar 31, 2023, Limited",31-Mar-23,,English,1h 27m
25ad8783-00db-3060-9a99-c7b8f94d8fb5,2023,https://www.rottentomatoes.com/m/wonka,Wonka,82,positive,91,positive,"Dec 15, 2023, Wide",30-Jan-24,PG (Some Violence|Mild Language|Thematic Elements),English,1h 56m
25b0c1c5-fcaa-3126-81b0-3720a151f6d4,2023,https://www.rottentomatoes.com/m/one_of_these_days_2020,One of These Days,50,negative,,,"Apr 14, 2023, Limited",14-Apr-23,,English,1h 59m
25cf2624-ad48-307d-8d8c-72cf18a53b58,2023,https://www.rottentomatoes.com/m/jagged_mind,Jagged Mind,67,positive,45,negative,,15-Jun-23,,English,1h 28m
25d327ec-58c3-431e-8ec8-079264b7b78c,2023,https://www.rottentomatoes.com/m/chile_76,Chile '76,91,positive,97,positive,"May 5, 2023, Limited",11-Jul-23,,Spanish,1h 35m
26565be2-5434-3f41-8caa-a3a6204fb5bc,2023,https://www.rottentomatoes.com/m/fear_the_night,Fear the Night,31,negative,24,negative,"Jul 21, 2023, Limited",21-Jul-23,,English,1h 32m
